League;Date;Get;Pay;Value;Confidence
Affliction;2023-12-08;Orb of Alchemy;Chaos Orb;0.5;High
Affliction;2023-12-09;Orb of Alchemy;Chaos Orb;0.2;High
Affliction;2023-12-10;Orb of Alchemy;Chaos Orb;0.18;High
Affliction;2023-12-11;Orb of Alchemy;Chaos Orb;0.13333;High
Affliction;2023-12-12;Orb of Alchemy;Chaos Orb;0.125;High
Affliction;2023-12-13;Orb of Alchemy;Chaos Orb;0.12195;High
Affliction;2023-12-14;Orb of Alchemy;Chaos Orb;0.11333;High
Affliction;2023-12-15;Orb of Alchemy;Chaos Orb;0.11111;High
Affliction;2023-12-16;Orb of Alchemy;Chaos Orb;0.11111;High
Affliction;2023-12-17;Orb of Alchemy;Chaos Orb;0.1111;High
Affliction;2023-12-18;Orb of Alchemy;Chaos Orb;0.1069;High
Affliction;2023-12-19;Orb of Alchemy;Chaos Orb;0.1;High
Affliction;2023-12-20;Orb of Alchemy;Chaos Orb;0.1;High
Affliction;2023-12-21;Orb of Alchemy;Chaos Orb;0.1;High
Affliction;2023-12-22;Orb of Alchemy;Chaos Orb;0.1;High
Affliction;2023-12-23;Orb of Alchemy;Chaos Orb;0.1;High
Affliction;2023-12-24;Orb of Alchemy;Chaos Orb;0.0998;High
Affliction;2023-12-25;Orb of Alchemy;Chaos Orb;0.099;High
Affliction;2023-12-26;Orb of Alchemy;Chaos Orb;0.09873;High
Affliction;2023-12-27;Orb of Alchemy;Chaos Orb;0.09753;High
Affliction;2023-12-28;Orb of Alchemy;Chaos Orb;0.09667;High
Affliction;2023-12-29;Orb of Alchemy;Chaos Orb;0.09551;High
Affliction;2023-12-30;Orb of Alchemy;Chaos Orb;0.09114;High
Affliction;2023-12-31;Orb of Alchemy;Chaos Orb;0.09091;High
Affliction;2024-01-01;Orb of Alchemy;Chaos Orb;0.08993;High
Affliction;2024-01-02;Orb of Alchemy;Chaos Orb;0.08745;High
Affliction;2024-01-03;Orb of Alchemy;Chaos Orb;0.0879;High
Affliction;2024-01-04;Orb of Alchemy;Chaos Orb;0.08333;High
Affliction;2024-01-05;Orb of Alchemy;Chaos Orb;0.08333;High
Affliction;2024-01-06;Orb of Alchemy;Chaos Orb;0.08333;High
Affliction;2024-01-07;Orb of Alchemy;Chaos Orb;0.08333;High
Affliction;2024-01-08;Orb of Alchemy;Chaos Orb;0.08333;High
Affliction;2024-01-09;Orb of Alchemy;Chaos Orb;0.08333;High
Affliction;2024-01-10;Orb of Alchemy;Chaos Orb;0.08333;High
Affliction;2024-01-11;Orb of Alchemy;Chaos Orb;0.08333;High
Affliction;2024-01-12;Orb of Alchemy;Chaos Orb;0.08333;High
Affliction;2024-01-13;Orb of Alchemy;Chaos Orb;0.08333;High
Affliction;2024-01-14;Orb of Alchemy;Chaos Orb;0.08333;High
Affliction;2024-01-15;Orb of Alchemy;Chaos Orb;0.08333;High
Affliction;2024-01-16;Orb of Alchemy;Chaos Orb;0.08946;High
Affliction;2024-01-17;Orb of Alchemy;Chaos Orb;0.08946;High
Affliction;2024-01-18;Orb of Alchemy;Chaos Orb;0.08946;High
Affliction;2024-01-19;Orb of Alchemy;Chaos Orb;0.08995;High
Affliction;2024-01-20;Orb of Alchemy;Chaos Orb;0.09025;High
Affliction;2024-01-21;Orb of Alchemy;Chaos Orb;0.09027;High
Affliction;2024-01-22;Orb of Alchemy;Chaos Orb;0.08901;High
Affliction;2024-01-23;Orb of Alchemy;Chaos Orb;0.0861;High
