League;Date;Get;Pay;Value;Confidence
Ancestor;2023-08-18;Orb of Alchemy;Chaos Orb;1;High
Ancestor;2023-08-19;Orb of Alchemy;Chaos Orb;0.22222;High
Ancestor;2023-08-20;Orb of Alchemy;Chaos Orb;0.18182;High
Ancestor;2023-08-21;Orb of Alchemy;Chaos Orb;0.14286;High
Ancestor;2023-08-22;Orb of Alchemy;Chaos Orb;0.13333;High
Ancestor;2023-08-23;Orb of Alchemy;Chaos Orb;0.13333;High
Ancestor;2023-08-24;Orb of Alchemy;Chaos Orb;0.12667;High
Ancestor;2023-08-25;Orb of Alchemy;Chaos Orb;0.12667;High
Ancestor;2023-08-26;Orb of Alchemy;Chaos Orb;0.125;High
Ancestor;2023-08-27;Orb of Alchemy;Chaos Orb;0.12548;High
Ancestor;2023-08-28;Orb of Alchemy;Chaos Orb;0.12557;High
Ancestor;2023-08-29;Orb of Alchemy;Chaos Orb;0.125;High
Ancestor;2023-08-30;Orb of Alchemy;Chaos Orb;0.12667;High
Ancestor;2023-08-31;Orb of Alchemy;Chaos Orb;0.125;High
Ancestor;2023-09-01;Orb of Alchemy;Chaos Orb;0.125;High
Ancestor;2023-09-02;Orb of Alchemy;Chaos Orb;0.125;High
Ancestor;2023-09-03;Orb of Alchemy;Chaos Orb;0.125;High
Ancestor;2023-09-04;Orb of Alchemy;Chaos Orb;0.12193;High
Ancestor;2023-09-05;Orb of Alchemy;Chaos Orb;0.11945;High
Ancestor;2023-09-06;Orb of Alchemy;Chaos Orb;0.11765;High
Ancestor;2023-09-07;Orb of Alchemy;Chaos Orb;0.11492;High
Ancestor;2023-09-08;Orb of Alchemy;Chaos Orb;0.11111;High
Ancestor;2023-09-09;Orb of Alchemy;Chaos Orb;0.11111;High
Ancestor;2023-09-10;Orb of Alchemy;Chaos Orb;0.10999;High
Ancestor;2023-09-11;Orb of Alchemy;Chaos Orb;0.10938;High
Ancestor;2023-09-12;Orb of Alchemy;Chaos Orb;0.10667;High
Ancestor;2023-09-13;Orb of Alchemy;Chaos Orb;0.10588;High
Ancestor;2023-09-14;Orb of Alchemy;Chaos Orb;0.10714;High
Ancestor;2023-09-15;Orb of Alchemy;Chaos Orb;0.1;High
Ancestor;2023-09-16;Orb of Alchemy;Chaos Orb;0.1;High
Ancestor;2023-09-17;Orb of Alchemy;Chaos Orb;0.1;High
Ancestor;2023-09-18;Orb of Alchemy;Chaos Orb;0.1;High
Ancestor;2023-09-19;Orb of Alchemy;Chaos Orb;0.1;High
Ancestor;2023-09-20;Orb of Alchemy;Chaos Orb;0.1;High
Ancestor;2023-09-21;Orb of Alchemy;Chaos Orb;0.1;High
Ancestor;2023-09-22;Orb of Alchemy;Chaos Orb;0.0998;High
Ancestor;2023-09-23;Orb of Alchemy;Chaos Orb;0.0998;High
Ancestor;2023-09-24;Orb of Alchemy;Chaos Orb;0.0999;High
Ancestor;2023-09-25;Orb of Alchemy;Chaos Orb;0.0989;High
Ancestor;2023-09-26;Orb of Alchemy;Chaos Orb;0.09901;High
Ancestor;2023-09-27;Orb of Alchemy;Chaos Orb;0.09921;High
Ancestor;2023-09-28;Orb of Alchemy;Chaos Orb;0.09944;High
Ancestor;2023-09-29;Orb of Alchemy;Chaos Orb;0.09905;High
Ancestor;2023-09-30;Orb of Alchemy;Chaos Orb;0.09917;High
Ancestor;2023-10-01;Orb of Alchemy;Chaos Orb;0.09899;High
Ancestor;2023-10-02;Orb of Alchemy;Chaos Orb;0.09897;High
Ancestor;2023-10-03;Orb of Alchemy;Chaos Orb;0.09877;High
Ancestor;2023-10-04;Orb of Alchemy;Chaos Orb;0.0983;High
Ancestor;2023-10-05;Orb of Alchemy;Chaos Orb;0.09836;High
Ancestor;2023-10-06;Orb of Alchemy;Chaos Orb;0.09815;High
Ancestor;2023-10-07;Orb of Alchemy;Chaos Orb;0.09804;High
Ancestor;2023-10-08;Orb of Alchemy;Chaos Orb;0.09804;High
Ancestor;2023-10-09;Orb of Alchemy;Chaos Orb;0.09783;High
Ancestor;2023-10-10;Orb of Alchemy;Chaos Orb;0.09753;High
Ancestor;2023-10-11;Orb of Alchemy;Chaos Orb;0.098;High
Ancestor;2023-10-12;Orb of Alchemy;Chaos Orb;0.0978;High
Ancestor;2023-10-13;Orb of Alchemy;Chaos Orb;0.09756;High
Ancestor;2023-10-14;Orb of Alchemy;Chaos Orb;0.09722;High
Ancestor;2023-10-15;Orb of Alchemy;Chaos Orb;0.09756;High
Ancestor;2023-10-16;Orb of Alchemy;Chaos Orb;0.09817;High
Ancestor;2023-10-17;Orb of Alchemy;Chaos Orb;0.09915;High
Ancestor;2023-10-18;Orb of Alchemy;Chaos Orb;0.1;High
Ancestor;2023-10-19;Orb of Alchemy;Chaos Orb;0.1;High
Ancestor;2023-10-20;Orb of Alchemy;Chaos Orb;0.1;High
Ancestor;2023-10-21;Orb of Alchemy;Chaos Orb;0.1;High
Ancestor;2023-10-22;Orb of Alchemy;Chaos Orb;0.1;High
Ancestor;2023-10-23;Orb of Alchemy;Chaos Orb;0.1;High
Ancestor;2023-10-24;Orb of Alchemy;Chaos Orb;0.1;High
Ancestor;2023-10-25;Orb of Alchemy;Chaos Orb;0.1;High
Ancestor;2023-10-26;Orb of Alchemy;Chaos Orb;0.1;High
Ancestor;2023-10-27;Orb of Alchemy;Chaos Orb;0.1;High
Ancestor;2023-10-28;Orb of Alchemy;Chaos Orb;0.1;High
Ancestor;2023-10-29;Orb of Alchemy;Chaos Orb;0.1;High
Ancestor;2023-10-30;Orb of Alchemy;Chaos Orb;0.11111;High
Ancestor;2023-10-31;Orb of Alchemy;Chaos Orb;0.11111;High
Ancestor;2023-11-01;Orb of Alchemy;Chaos Orb;0.11111;High
Ancestor;2023-11-02;Orb of Alchemy;Chaos Orb;0.1152;High
Ancestor;2023-11-03;Orb of Alchemy;Chaos Orb;0.1152;High
Ancestor;2023-11-04;Orb of Alchemy;Chaos Orb;0.1152;High
Ancestor;2023-11-05;Orb of Alchemy;Chaos Orb;0.1152;High
Ancestor;2023-11-06;Orb of Alchemy;Chaos Orb;0.11654;High
Ancestor;2023-11-07;Orb of Alchemy;Chaos Orb;0.1152;High
Ancestor;2023-11-08;Orb of Alchemy;Chaos Orb;0.1152;High
Ancestor;2023-11-09;Orb of Alchemy;Chaos Orb;0.1152;High
Ancestor;2023-11-10;Orb of Alchemy;Chaos Orb;0.11751;High
Ancestor;2023-11-11;Orb of Alchemy;Chaos Orb;0.1176;High
Ancestor;2023-11-12;Orb of Alchemy;Chaos Orb;0.1176;High
Ancestor;2023-11-13;Orb of Alchemy;Chaos Orb;0.11751;High
Ancestor;2023-11-14;Orb of Alchemy;Chaos Orb;0.1176;High
Ancestor;2023-11-15;Orb of Alchemy;Chaos Orb;0.1176;High
Ancestor;2023-11-16;Orb of Alchemy;Chaos Orb;0.1176;High
Ancestor;2023-11-17;Orb of Alchemy;Chaos Orb;0.11765;High
Ancestor;2023-11-18;Orb of Alchemy;Chaos Orb;0.11765;High
Ancestor;2023-11-19;Orb of Alchemy;Chaos Orb;0.11755;High
Ancestor;2023-11-20;Orb of Alchemy;Chaos Orb;0.11616;High
Ancestor;2023-11-21;Orb of Alchemy;Chaos Orb;0.10716;High
Ancestor;2023-11-22;Orb of Alchemy;Chaos Orb;0.11712;High
Ancestor;2023-11-23;Orb of Alchemy;Chaos Orb;0.11731;High
Ancestor;2023-11-24;Orb of Alchemy;Chaos Orb;0.11765;High
Ancestor;2023-11-25;Orb of Alchemy;Chaos Orb;0.1176;High
Ancestor;2023-11-26;Orb of Alchemy;Chaos Orb;0.11111;High
Ancestor;2023-11-27;Orb of Alchemy;Chaos Orb;0.11111;High
Ancestor;2023-11-28;Orb of Alchemy;Chaos Orb;0.11111;High
Ancestor;2023-11-29;Orb of Alchemy;Chaos Orb;0.10878;High
Ancestor;2023-11-30;Orb of Alchemy;Chaos Orb;0.10627;High
Ancestor;2023-12-01;Orb of Alchemy;Chaos Orb;0.10833;High
Ancestor;2023-12-02;Orb of Alchemy;Chaos Orb;0.10866;High
Ancestor;2023-12-03;Orb of Alchemy;Chaos Orb;0.1;High
Ancestor;2023-12-04;Orb of Alchemy;Chaos Orb;0.09909;High
Ancestor;2023-12-05;Orb of Alchemy;Chaos Orb;0.09824;High
Ancestor;2023-08-18;Chromatic Orb;Chaos Orb;0.15477;High
Ancestor;2023-08-19;Chromatic Orb;Chaos Orb;0.11111;High
Ancestor;2023-08-20;Chromatic Orb;Chaos Orb;0.15385;High
Ancestor;2023-08-21;Chromatic Orb;Chaos Orb;0.16667;High
Ancestor;2023-08-22;Chromatic Orb;Chaos Orb;0.16667;High
Ancestor;2023-08-23;Chromatic Orb;Chaos Orb;0.1639;High
Ancestor;2023-08-24;Chromatic Orb;Chaos Orb;0.16129;High
Ancestor;2023-08-25;Chromatic Orb;Chaos Orb;0.16129;High
Ancestor;2023-08-26;Chromatic Orb;Chaos Orb;0.16174;High
Ancestor;2023-08-27;Chromatic Orb;Chaos Orb;0.16667;High
Ancestor;2023-08-28;Chromatic Orb;Chaos Orb;0.16667;High
Ancestor;2023-08-29;Chromatic Orb;Chaos Orb;0.16667;High
Ancestor;2023-08-30;Chromatic Orb;Chaos Orb;0.16667;High
Ancestor;2023-08-31;Chromatic Orb;Chaos Orb;0.16667;High
Ancestor;2023-09-01;Chromatic Orb;Chaos Orb;0.16667;High
Ancestor;2023-09-02;Chromatic Orb;Chaos Orb;0.16667;High
Ancestor;2023-09-03;Chromatic Orb;Chaos Orb;0.16667;High
Ancestor;2023-09-04;Chromatic Orb;Chaos Orb;0.16667;High
Ancestor;2023-09-05;Chromatic Orb;Chaos Orb;0.16667;High
Ancestor;2023-09-06;Chromatic Orb;Chaos Orb;0.16667;High
Ancestor;2023-09-07;Chromatic Orb;Chaos Orb;0.16667;High
Ancestor;2023-09-08;Chromatic Orb;Chaos Orb;0.16667;High
Ancestor;2023-09-09;Chromatic Orb;Chaos Orb;0.16667;High
Ancestor;2023-09-10;Chromatic Orb;Chaos Orb;0.16667;High
Ancestor;2023-09-11;Chromatic Orb;Chaos Orb;0.16667;High
Ancestor;2023-09-12;Chromatic Orb;Chaos Orb;0.16667;High
Ancestor;2023-09-13;Chromatic Orb;Chaos Orb;0.16667;High
Ancestor;2023-09-14;Chromatic Orb;Chaos Orb;0.15477;High
Ancestor;2023-09-15;Chromatic Orb;Chaos Orb;0.16667;High
Ancestor;2023-09-16;Chromatic Orb;Chaos Orb;0.1541;High
Ancestor;2023-09-17;Chromatic Orb;Chaos Orb;0.1541;High
Ancestor;2023-09-18;Chromatic Orb;Chaos Orb;0.15477;High
Ancestor;2023-09-19;Chromatic Orb;Chaos Orb;0.1541;High
Ancestor;2023-09-20;Chromatic Orb;Chaos Orb;0.15477;High
Ancestor;2023-09-21;Chromatic Orb;Chaos Orb;0.1541;High
Ancestor;2023-09-22;Chromatic Orb;Chaos Orb;0.1541;High
Ancestor;2023-09-23;Chromatic Orb;Chaos Orb;0.1547;High
Ancestor;2023-09-24;Chromatic Orb;Chaos Orb;0.15477;High
Ancestor;2023-09-25;Chromatic Orb;Chaos Orb;0.1541;High
Ancestor;2023-09-26;Chromatic Orb;Chaos Orb;0.1541;High
Ancestor;2023-09-27;Chromatic Orb;Chaos Orb;0.1541;High
Ancestor;2023-09-28;Chromatic Orb;Chaos Orb;0.1541;High
Ancestor;2023-09-29;Chromatic Orb;Chaos Orb;0.1541;High
Ancestor;2023-09-30;Chromatic Orb;Chaos Orb;0.1541;High
Ancestor;2023-10-01;Chromatic Orb;Chaos Orb;0.1541;High
Ancestor;2023-10-02;Chromatic Orb;Chaos Orb;0.1541;High
Ancestor;2023-10-03;Chromatic Orb;Chaos Orb;0.15385;High
