League;Date;Get;Pay;Value;Confidence
Archnemesis;2022-02-04;Scroll of Wisdom;Chaos Orb;0.42535;High
Archnemesis;2022-02-05;Scroll of Wisdom;Chaos Orb;0.02259;High
Archnemesis;2022-02-06;Scroll of Wisdom;Chaos Orb;0.01503;High
Archnemesis;2022-02-07;Scroll of Wisdom;Chaos Orb;0.01158;High
Archnemesis;2022-02-08;Scroll of Wisdom;Chaos Orb;0.01088;High
Archnemesis;2022-02-09;Scroll of Wisdom;Chaos Orb;0.00925;High
Archnemesis;2022-02-10;Scroll of Wisdom;Chaos Orb;0.009;High
Archnemesis;2022-02-11;Scroll of Wisdom;Chaos Orb;0.00833;High
Archnemesis;2022-02-12;Scroll of Wisdom;Chaos Orb;0.00833;High
Archnemesis;2022-02-13;Scroll of Wisdom;Chaos Orb;0.00833;High
Archnemesis;2022-02-14;Scroll of Wisdom;Chaos Orb;0.00833;High
Archnemesis;2022-02-15;Scroll of Wisdom;Chaos Orb;0.00832;High
Archnemesis;2022-02-16;Scroll of Wisdom;Chaos Orb;0.00832;High
Archnemesis;2022-02-17;Scroll of Wisdom;Chaos Orb;0.00757;High
Archnemesis;2022-02-18;Scroll of Wisdom;Chaos Orb;0.0083;High
Archnemesis;2022-02-19;Scroll of Wisdom;Chaos Orb;0.00818;High
Archnemesis;2022-02-20;Scroll of Wisdom;Chaos Orb;0.00789;High
Archnemesis;2022-02-21;Scroll of Wisdom;Chaos Orb;0.00745;High
Archnemesis;2022-02-22;Scroll of Wisdom;Chaos Orb;0.00704;High
Archnemesis;2022-02-23;Scroll of Wisdom;Chaos Orb;0.00713;High
Archnemesis;2022-02-24;Scroll of Wisdom;Chaos Orb;0.00714;High
Archnemesis;2022-02-25;Scroll of Wisdom;Chaos Orb;0.00707;High
Archnemesis;2022-02-26;Scroll of Wisdom;Chaos Orb;0.00712;High
Archnemesis;2022-02-27;Scroll of Wisdom;Chaos Orb;0.00667;High
Archnemesis;2022-02-28;Scroll of Wisdom;Chaos Orb;0.00667;High
Archnemesis;2022-03-01;Scroll of Wisdom;Chaos Orb;0.00667;High
Archnemesis;2022-03-02;Scroll of Wisdom;Chaos Orb;0.00667;High
Archnemesis;2022-03-03;Scroll of Wisdom;Chaos Orb;0.00714;High
Archnemesis;2022-03-04;Scroll of Wisdom;Chaos Orb;0.00666;High
Archnemesis;2022-03-05;Scroll of Wisdom;Chaos Orb;0.00667;High
Archnemesis;2022-03-06;Scroll of Wisdom;Chaos Orb;0.00667;High
Archnemesis;2022-03-07;Scroll of Wisdom;Chaos Orb;0.00667;High
Archnemesis;2022-03-08;Scroll of Wisdom;Chaos Orb;0.00667;High
Archnemesis;2022-03-09;Scroll of Wisdom;Chaos Orb;0.00667;High
Archnemesis;2022-03-10;Scroll of Wisdom;Chaos Orb;0.00667;High
Archnemesis;2022-03-11;Scroll of Wisdom;Chaos Orb;0.00649;High
Archnemesis;2022-03-12;Scroll of Wisdom;Chaos Orb;0.00667;High
Archnemesis;2022-03-13;Scroll of Wisdom;Chaos Orb;0.00667;High
Archnemesis;2022-03-14;Scroll of Wisdom;Chaos Orb;0.00666;High
Archnemesis;2022-03-15;Scroll of Wisdom;Chaos Orb;0.00666;High
Archnemesis;2022-03-16;Scroll of Wisdom;Chaos Orb;0.00667;High
Archnemesis;2022-03-17;Scroll of Wisdom;Chaos Orb;0.00667;High
Archnemesis;2022-03-18;Scroll of Wisdom;Chaos Orb;0.00666;High
Archnemesis;2022-03-19;Scroll of Wisdom;Chaos Orb;0.00659;High
Archnemesis;2022-03-20;Scroll of Wisdom;Chaos Orb;0.00665;High
Archnemesis;2022-03-21;Scroll of Wisdom;Chaos Orb;0.00665;High
Archnemesis;2022-03-22;Scroll of Wisdom;Chaos Orb;0.00665;High
Archnemesis;2022-03-23;Scroll of Wisdom;Chaos Orb;0.00666;High
Archnemesis;2022-03-24;Scroll of Wisdom;Chaos Orb;0.00666;High
Archnemesis;2022-03-25;Scroll of Wisdom;Chaos Orb;0.00666;High
Archnemesis;2022-03-26;Scroll of Wisdom;Chaos Orb;0.00658;High
Archnemesis;2022-03-27;Scroll of Wisdom;Chaos Orb;0.00659;High
Archnemesis;2022-03-28;Scroll of Wisdom;Chaos Orb;0.00664;High
Archnemesis;2022-03-29;Scroll of Wisdom;Chaos Orb;0.00606;High
Archnemesis;2022-03-30;Scroll of Wisdom;Chaos Orb;0.00614;High
Archnemesis;2022-03-31;Scroll of Wisdom;Chaos Orb;0.00621;High
Archnemesis;2022-04-01;Scroll of Wisdom;Chaos Orb;0.00616;High
Archnemesis;2022-04-02;Scroll of Wisdom;Chaos Orb;0.00606;High
Archnemesis;2022-04-03;Scroll of Wisdom;Chaos Orb;0.00661;High
Archnemesis;2022-04-04;Scroll of Wisdom;Chaos Orb;0.00663;High
Archnemesis;2022-04-05;Scroll of Wisdom;Chaos Orb;0.00666;High
Archnemesis;2022-04-06;Scroll of Wisdom;Chaos Orb;0.00665;High
Archnemesis;2022-04-07;Scroll of Wisdom;Chaos Orb;0.00661;High
Archnemesis;2022-04-08;Scroll of Wisdom;Chaos Orb;0.00665;High
Archnemesis;2022-04-09;Scroll of Wisdom;Chaos Orb;0.00666;High
Archnemesis;2022-04-10;Scroll of Wisdom;Chaos Orb;0.00664;High
Archnemesis;2022-04-11;Scroll of Wisdom;Chaos Orb;0.00667;High
Archnemesis;2022-04-12;Scroll of Wisdom;Chaos Orb;0.0068;High
Archnemesis;2022-04-13;Scroll of Wisdom;Chaos Orb;0.00679;High
Archnemesis;2022-04-14;Scroll of Wisdom;Chaos Orb;0.00556;High
Archnemesis;2022-04-15;Scroll of Wisdom;Chaos Orb;0.00572;High
Archnemesis;2022-04-16;Scroll of Wisdom;Chaos Orb;0.00661;High
Archnemesis;2022-04-17;Scroll of Wisdom;Chaos Orb;0.00642;High
Archnemesis;2022-04-18;Scroll of Wisdom;Chaos Orb;0.00675;High
Archnemesis;2022-04-19;Scroll of Wisdom;Chaos Orb;0.00601;High
Archnemesis;2022-04-20;Scroll of Wisdom;Chaos Orb;0.00683;High
Archnemesis;2022-04-21;Scroll of Wisdom;Chaos Orb;0.00775;High
Archnemesis;2022-04-22;Scroll of Wisdom;Chaos Orb;0.00672;High
Archnemesis;2022-04-23;Scroll of Wisdom;Chaos Orb;0.00597;High
Archnemesis;2022-04-24;Scroll of Wisdom;Chaos Orb;0.00592;High
Archnemesis;2022-04-25;Scroll of Wisdom;Chaos Orb;0.00666;High
Archnemesis;2022-04-26;Scroll of Wisdom;Chaos Orb;0.00624;High
Archnemesis;2022-04-27;Scroll of Wisdom;Chaos Orb;0.00657;High
Archnemesis;2022-04-28;Scroll of Wisdom;Chaos Orb;0.00669;High
Archnemesis;2022-04-29;Scroll of Wisdom;Chaos Orb;0.00667;High
Archnemesis;2022-04-30;Scroll of Wisdom;Chaos Orb;0.00772;High
Archnemesis;2022-05-01;Scroll of Wisdom;Chaos Orb;0.00667;High
Archnemesis;2022-05-02;Scroll of Wisdom;Chaos Orb;0.00622;High
Archnemesis;2022-05-03;Scroll of Wisdom;Chaos Orb;0.00691;High
Archnemesis;2022-05-04;Scroll of Wisdom;Chaos Orb;0.00599;High
Archnemesis;2022-05-05;Scroll of Wisdom;Chaos Orb;0.00617;High
Archnemesis;2022-05-06;Scroll of Wisdom;Chaos Orb;0.00601;High
