League;Date;Get;Pay;Value;Confidence
Crucible;2023-04-07;Chromatic Orb;Chaos Orb;0.2;High
Crucible;2023-04-08;Chromatic Orb;Chaos Orb;0.08333;High
Crucible;2023-04-09;Chromatic Orb;Chaos Orb;0.15789;High
Crucible;2023-04-10;Chromatic Orb;Chaos Orb;0.16667;High
Crucible;2023-04-11;Chromatic Orb;Chaos Orb;0.16667;High
Crucible;2023-04-12;Chromatic Orb;Chaos Orb;0.16629;High
Crucible;2023-04-13;Chromatic Orb;Chaos Orb;0.15477;High
Crucible;2023-04-14;Chromatic Orb;Chaos Orb;0.15375;High
Crucible;2023-04-15;Chromatic Orb;Chaos Orb;0.15;High
Crucible;2023-04-16;Chromatic Orb;Chaos Orb;0.14286;High
Crucible;2023-04-17;Chromatic Orb;Chaos Orb;0.14191;High
Crucible;2023-04-18;Chromatic Orb;Chaos Orb;0.13699;High
Crucible;2023-04-19;Chromatic Orb;Chaos Orb;0.13333;High
Crucible;2023-04-20;Chromatic Orb;Chaos Orb;0.13333;High
Crucible;2023-04-21;Chromatic Orb;Chaos Orb;0.13158;High
Crucible;2023-04-22;Chromatic Orb;Chaos Orb;0.12744;High
Crucible;2023-04-23;Chromatic Orb;Chaos Orb;0.125;High
Crucible;2023-04-24;Chromatic Orb;Chaos Orb;0.125;High
Crucible;2023-04-25;Chromatic Orb;Chaos Orb;0.12345;High
Crucible;2023-04-26;Chromatic Orb;Chaos Orb;0.11905;High
Crucible;2023-04-27;Chromatic Orb;Chaos Orb;0.11905;High
Crucible;2023-04-28;Chromatic Orb;Chaos Orb;0.11765;High
Crucible;2023-04-29;Chromatic Orb;Chaos Orb;0.11896;High
Crucible;2023-04-30;Chromatic Orb;Chaos Orb;0.11905;High
Crucible;2023-05-01;Chromatic Orb;Chaos Orb;0.11905;High
Crucible;2023-05-02;Chromatic Orb;Chaos Orb;0.12132;High
Crucible;2023-05-03;Chromatic Orb;Chaos Orb;0.12167;High
Crucible;2023-05-04;Chromatic Orb;Chaos Orb;0.12195;High
Crucible;2023-05-05;Chromatic Orb;Chaos Orb;0.12195;High
Crucible;2023-05-06;Chromatic Orb;Chaos Orb;0.12042;High
Crucible;2023-05-07;Chromatic Orb;Chaos Orb;0.11905;High
Crucible;2023-05-08;Chromatic Orb;Chaos Orb;0.11981;High
Crucible;2023-05-09;Chromatic Orb;Chaos Orb;0.11905;High
Crucible;2023-05-10;Chromatic Orb;Chaos Orb;0.11765;High
Crucible;2023-05-11;Chromatic Orb;Chaos Orb;0.11667;High
Crucible;2023-05-12;Chromatic Orb;Chaos Orb;0.11628;High
Crucible;2023-05-13;Chromatic Orb;Chaos Orb;0.11628;High
Crucible;2023-05-14;Chromatic Orb;Chaos Orb;0.11628;High
Crucible;2023-05-15;Chromatic Orb;Chaos Orb;0.11628;High
Crucible;2023-05-16;Chromatic Orb;Chaos Orb;0.11628;High
Crucible;2023-05-17;Chromatic Orb;Chaos Orb;0.11628;High
Crucible;2023-05-18;Chromatic Orb;Chaos Orb;0.11364;High
Crucible;2023-05-19;Chromatic Orb;Chaos Orb;0.11111;High
Crucible;2023-05-20;Chromatic Orb;Chaos Orb;0.11111;High
Crucible;2023-05-21;Chromatic Orb;Chaos Orb;0.11111;High
Crucible;2023-05-22;Chromatic Orb;Chaos Orb;0.11111;High
Crucible;2023-05-23;Chromatic Orb;Chaos Orb;0.11111;High
Crucible;2023-05-24;Chromatic Orb;Chaos Orb;0.11111;High
Crucible;2023-05-25;Chromatic Orb;Chaos Orb;0.11111;High
Crucible;2023-05-26;Chromatic Orb;Chaos Orb;0.11111;High
Crucible;2023-05-27;Chromatic Orb;Chaos Orb;0.11111;High
Crucible;2023-05-28;Chromatic Orb;Chaos Orb;0.11111;High
Crucible;2023-05-29;Chromatic Orb;Chaos Orb;0.11111;High
Crucible;2023-05-30;Chromatic Orb;Chaos Orb;0.11111;High
Crucible;2023-05-31;Chromatic Orb;Chaos Orb;0.11111;High
Crucible;2023-06-01;Chromatic Orb;Chaos Orb;0.11111;High
Crucible;2023-06-02;Chromatic Orb;Chaos Orb;0.11111;High
Crucible;2023-06-03;Chromatic Orb;Chaos Orb;0.11111;High
Crucible;2023-06-04;Chromatic Orb;Chaos Orb;0.11111;High
Crucible;2023-06-05;Chromatic Orb;Chaos Orb;0.11111;High
Crucible;2023-06-06;Chromatic Orb;Chaos Orb;0.11111;High
Crucible;2023-06-07;Chromatic Orb;Chaos Orb;0.11111;High
Crucible;2023-06-08;Chromatic Orb;Chaos Orb;0.11111;High
Crucible;2023-06-09;Chromatic Orb;Chaos Orb;0.11111;High
Crucible;2023-06-10;Chromatic Orb;Chaos Orb;0.11111;High
Crucible;2023-06-11;Chromatic Orb;Chaos Orb;0.11111;High
Crucible;2023-06-12;Chromatic Orb;Chaos Orb;0.11111;High
Crucible;2023-06-13;Chromatic Orb;Chaos Orb;0.11111;High
Crucible;2023-06-14;Chromatic Orb;Chaos Orb;0.11111;High
Crucible;2023-06-15;Chromatic Orb;Chaos Orb;0.11111;High
Crucible;2023-06-16;Chromatic Orb;Chaos Orb;0.11111;High
Crucible;2023-06-17;Chromatic Orb;Chaos Orb;0.11111;High
Crucible;2023-06-18;Chromatic Orb;Chaos Orb;0.11111;High
Crucible;2023-06-19;Chromatic Orb;Chaos Orb;0.11111;High
Crucible;2023-06-20;Chromatic Orb;Chaos Orb;0.11111;High
Crucible;2023-06-21;Chromatic Orb;Chaos Orb;0.11111;High
Crucible;2023-06-22;Chromatic Orb;Chaos Orb;0.11364;High
Crucible;2023-06-23;Chromatic Orb;Chaos Orb;0.11628;High
Crucible;2023-06-24;Chromatic Orb;Chaos Orb;0.12195;High
Crucible;2023-06-25;Chromatic Orb;Chaos Orb;0.12497;High
Crucible;2023-06-26;Chromatic Orb;Chaos Orb;0.1243;High
Crucible;2023-06-27;Chromatic Orb;Chaos Orb;0.125;High
Crucible;2023-06-28;Chromatic Orb;Chaos Orb;0.12217;High
Crucible;2023-06-29;Chromatic Orb;Chaos Orb;0.125;High
Crucible;2023-06-30;Chromatic Orb;Chaos Orb;0.13612;High
Crucible;2023-07-01;Chromatic Orb;Chaos Orb;0.13967;High
Crucible;2023-07-02;Chromatic Orb;Chaos Orb;0.13889;High
Crucible;2023-07-03;Chromatic Orb;Chaos Orb;0.14286;High
Crucible;2023-07-04;Chromatic Orb;Chaos Orb;0.14286;High
Crucible;2023-07-05;Chromatic Orb;Chaos Orb;0.13;High
