League;Date;Get;Pay;Value;Confidence
Expedition;2021-07-23;Orb of Augmentation;Chaos Orb;0.25585;High
Expedition;2021-07-24;Orb of Augmentation;Chaos Orb;0.03339;High
Expedition;2021-07-25;Orb of Augmentation;Chaos Orb;0.03313;High
Expedition;2021-07-26;Orb of Augmentation;Chaos Orb;0.03333;High
Expedition;2021-07-27;Orb of Augmentation;Chaos Orb;0.03333;High
Expedition;2021-07-28;Orb of Augmentation;Chaos Orb;0.03333;High
Expedition;2021-07-29;Orb of Augmentation;Chaos Orb;0.04019;High
Expedition;2021-07-30;Orb of Augmentation;Chaos Orb;0.04092;High
Expedition;2021-07-31;Orb of Augmentation;Chaos Orb;0.0663;High
Expedition;2021-08-01;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-08-02;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-08-03;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-08-04;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-08-05;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-08-06;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-08-07;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-08-08;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-08-09;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-08-10;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-08-11;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-08-12;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-08-13;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-08-14;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-08-15;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-08-16;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-08-17;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-08-18;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-08-19;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-08-20;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-08-21;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-08-22;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-08-23;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-08-24;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-08-25;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-08-26;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-08-27;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-08-28;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-08-29;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-08-30;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-08-31;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-09-01;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-09-02;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-09-03;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-09-04;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-09-05;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-09-06;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-09-07;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-09-08;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-09-09;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-09-10;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-09-11;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-09-12;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-09-13;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-09-14;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-09-15;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-09-16;Orb of Augmentation;Chaos Orb;0.07087;High
Expedition;2021-09-17;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-09-18;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-09-19;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-09-20;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-09-21;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-09-22;Orb of Augmentation;Chaos Orb;0.06811;High
Expedition;2021-09-23;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-09-24;Orb of Augmentation;Chaos Orb;0.07019;High
Expedition;2021-09-25;Orb of Augmentation;Chaos Orb;0.06667;High
Expedition;2021-09-26;Orb of Augmentation;Chaos Orb;0.06667;High
