League;Date;Get;Pay;Value;Confidence
Sanctum;2022-12-09;Sacrifice at Dusk;Chaos Orb;1;High
Sanctum;2022-12-10;Sacrifice at Dusk;Chaos Orb;0.9787;High
Sanctum;2022-12-11;Sacrifice at Dusk;Chaos Orb;0.4618;High
Sanctum;2022-12-12;Sacrifice at Dusk;Chaos Orb;0.27212;High
Sanctum;2022-12-13;Sacrifice at Dusk;Chaos Orb;0.182;High
Sanctum;2022-12-14;Sacrifice at Dusk;Chaos Orb;0.16667;High
Sanctum;2022-12-15;Sacrifice at Dusk;Chaos Orb;0.16667;High
Sanctum;2022-12-16;Sacrifice at Dusk;Chaos Orb;0.16627;High
Sanctum;2022-12-17;Sacrifice at Dusk;Chaos Orb;0.16544;High
Sanctum;2022-12-18;Sacrifice at Dusk;Chaos Orb;0.15385;High
Sanctum;2022-12-19;Sacrifice at Dusk;Chaos Orb;0.1647;High
Sanctum;2022-12-20;Sacrifice at Dusk;Chaos Orb;0.16112;High
Sanctum;2022-12-21;Sacrifice at Dusk;Chaos Orb;0.16595;High
Sanctum;2022-12-22;Sacrifice at Dusk;Chaos Orb;0.16581;High
Sanctum;2022-12-23;Sacrifice at Dusk;Chaos Orb;0.16636;High
Sanctum;2022-12-24;Sacrifice at Dusk;Chaos Orb;0.16603;High
Sanctum;2022-12-25;Sacrifice at Dusk;Chaos Orb;0.16667;High
Sanctum;2022-12-26;Sacrifice at Dusk;Chaos Orb;0.16529;High
Sanctum;2022-12-27;Sacrifice at Dusk;Chaos Orb;0.16667;High
Sanctum;2022-12-28;Sacrifice at Dusk;Chaos Orb;0.16667;High
Sanctum;2022-12-29;Sacrifice at Dusk;Chaos Orb;0.16667;High
Sanctum;2022-12-30;Sacrifice at Dusk;Chaos Orb;0.16667;High
Sanctum;2022-12-31;Sacrifice at Dusk;Chaos Orb;0.16667;High
Sanctum;2023-01-01;Sacrifice at Dusk;Chaos Orb;0.16096;High
Sanctum;2023-01-02;Sacrifice at Dusk;Chaos Orb;0.16667;High
Sanctum;2023-01-03;Sacrifice at Dusk;Chaos Orb;0.16667;High
Sanctum;2023-01-04;Sacrifice at Dusk;Chaos Orb;0.16602;High
Sanctum;2023-01-05;Sacrifice at Dusk;Chaos Orb;0.16667;High
Sanctum;2023-01-06;Sacrifice at Dusk;Chaos Orb;0.16667;High
Sanctum;2023-01-07;Sacrifice at Dusk;Chaos Orb;0.16667;High
Sanctum;2023-01-08;Sacrifice at Dusk;Chaos Orb;0.16667;High
Sanctum;2023-01-09;Sacrifice at Dusk;Chaos Orb;0.16667;High
Sanctum;2023-01-10;Sacrifice at Dusk;Chaos Orb;0.16667;High
Sanctum;2023-01-11;Sacrifice at Dusk;Chaos Orb;0.16667;High
Sanctum;2023-01-12;Sacrifice at Dusk;Chaos Orb;0.16667;High
Sanctum;2023-01-13;Sacrifice at Dusk;Chaos Orb;0.16667;High
Sanctum;2023-01-14;Sacrifice at Dusk;Chaos Orb;0.16667;High
Sanctum;2023-01-15;Sacrifice at Dusk;Chaos Orb;0.16603;High
Sanctum;2023-01-16;Sacrifice at Dusk;Chaos Orb;0.14286;High
Sanctum;2023-01-17;Sacrifice at Dusk;Chaos Orb;0.14286;High
Sanctum;2023-01-18;Sacrifice at Dusk;Chaos Orb;0.14286;High
Sanctum;2023-01-19;Sacrifice at Dusk;Chaos Orb;0.14286;High
Sanctum;2023-01-20;Sacrifice at Dusk;Chaos Orb;0.16291;High
Sanctum;2023-01-21;Sacrifice at Dusk;Chaos Orb;0.15362;High
Sanctum;2023-01-22;Sacrifice at Dusk;Chaos Orb;0.14286;High
Sanctum;2023-01-23;Sacrifice at Dusk;Chaos Orb;0.15349;High
Sanctum;2023-01-24;Sacrifice at Dusk;Chaos Orb;0.16614;High
Sanctum;2023-01-25;Sacrifice at Dusk;Chaos Orb;0.15372;High
Sanctum;2023-01-26;Sacrifice at Dusk;Chaos Orb;0.15982;High
Sanctum;2023-01-27;Sacrifice at Dusk;Chaos Orb;0.16206;High
Sanctum;2023-01-28;Sacrifice at Dusk;Chaos Orb;0.15745;High
Sanctum;2023-01-29;Sacrifice at Dusk;Chaos Orb;0.1534;High
Sanctum;2023-01-30;Sacrifice at Dusk;Chaos Orb;0.14286;High
Sanctum;2023-01-31;Sacrifice at Dusk;Chaos Orb;0.14286;High
Sanctum;2023-02-01;Sacrifice at Dusk;Chaos Orb;0.14286;High
Sanctum;2023-02-02;Sacrifice at Dusk;Chaos Orb;0.14286;High
Sanctum;2023-02-03;Sacrifice at Dusk;Chaos Orb;0.14278;High
Sanctum;2023-02-04;Sacrifice at Dusk;Chaos Orb;0.14195;High
Sanctum;2023-02-05;Sacrifice at Dusk;Chaos Orb;0.14286;High
Sanctum;2023-02-06;Sacrifice at Dusk;Chaos Orb;0.14253;High
Sanctum;2023-02-07;Sacrifice at Dusk;Chaos Orb;0.14899;High
Sanctum;2023-02-08;Sacrifice at Dusk;Chaos Orb;0.15344;High
Sanctum;2023-02-09;Sacrifice at Dusk;Chaos Orb;0.1563;High
Sanctum;2023-02-10;Sacrifice at Dusk;Chaos Orb;0.15385;High
Sanctum;2023-02-11;Sacrifice at Dusk;Chaos Orb;0.15385;High
Sanctum;2023-02-12;Sacrifice at Dusk;Chaos Orb;0.1624;High
Sanctum;2023-02-13;Sacrifice at Dusk;Chaos Orb;0.16667;High
Sanctum;2023-02-14;Sacrifice at Dusk;Chaos Orb;0.16667;High
Sanctum;2023-02-15;Sacrifice at Dusk;Chaos Orb;0.16667;High
Sanctum;2023-02-16;Sacrifice at Dusk;Chaos Orb;0.16667;High
Sanctum;2023-02-17;Sacrifice at Dusk;Chaos Orb;0.16667;High
