League;Date;Get;Pay;Value;Confidence
Scourge;2021-10-22;Orb of Regret;Chaos Orb;1;High
Scourge;2021-10-23;Orb of Regret;Chaos Orb;0.67708;High
Scourge;2021-10-24;Orb of Regret;Chaos Orb;1;High
Scourge;2021-10-25;Orb of Regret;Chaos Orb;1.5;High
Scourge;2021-10-26;Orb of Regret;Chaos Orb;1.49248;High
Scourge;2021-10-27;Orb of Regret;Chaos Orb;1.28667;High
Scourge;2021-10-28;Orb of Regret;Chaos Orb;1;High
Scourge;2021-10-29;Orb of Regret;Chaos Orb;0.9;High
Scourge;2021-10-30;Orb of Regret;Chaos Orb;0.83075;High
Scourge;2021-10-31;Orb of Regret;Chaos Orb;0.73473;High
Scourge;2021-11-01;Orb of Regret;Chaos Orb;0.66667;High
Scourge;2021-11-02;Orb of Regret;Chaos Orb;0.63831;High
Scourge;2021-11-03;Orb of Regret;Chaos Orb;0.63336;High
Scourge;2021-11-04;Orb of Regret;Chaos Orb;0.61095;High
Scourge;2021-11-05;Orb of Regret;Chaos Orb;0.58487;High
Scourge;2021-11-06;Orb of Regret;Chaos Orb;0.57107;High
Scourge;2021-11-07;Orb of Regret;Chaos Orb;0.52852;High
Scourge;2021-11-08;Orb of Regret;Chaos Orb;0.5095;High
Scourge;2021-11-09;Orb of Regret;Chaos Orb;0.50135;High
Scourge;2021-11-10;Orb of Regret;Chaos Orb;0.49159;High
Scourge;2021-11-11;Orb of Regret;Chaos Orb;0.47326;High
Scourge;2021-11-12;Orb of Regret;Chaos Orb;0.45485;High
Scourge;2021-11-13;Orb of Regret;Chaos Orb;0.45455;High
Scourge;2021-11-14;Orb of Regret;Chaos Orb;0.45448;High
Scourge;2021-11-15;Orb of Regret;Chaos Orb;0.45045;High
Scourge;2021-11-16;Orb of Regret;Chaos Orb;0.44755;High
Scourge;2021-11-17;Orb of Regret;Chaos Orb;0.44432;High
Scourge;2021-11-18;Orb of Regret;Chaos Orb;0.44086;High
Scourge;2021-11-19;Orb of Regret;Chaos Orb;0.43333;High
Scourge;2021-11-20;Orb of Regret;Chaos Orb;0.42518;High
Scourge;2021-11-21;Orb of Regret;Chaos Orb;0.41667;High
Scourge;2021-11-22;Orb of Regret;Chaos Orb;0.41653;High
Scourge;2021-11-23;Orb of Regret;Chaos Orb;0.41631;High
Scourge;2021-11-24;Orb of Regret;Chaos Orb;0.41622;High
Scourge;2021-11-25;Orb of Regret;Chaos Orb;0.41372;High
Scourge;2021-11-26;Orb of Regret;Chaos Orb;0.4093;High
Scourge;2021-11-27;Orb of Regret;Chaos Orb;0.40387;High
Scourge;2021-11-28;Orb of Regret;Chaos Orb;0.38462;High
Scourge;2021-11-29;Orb of Regret;Chaos Orb;0.3841;High
Scourge;2021-11-30;Orb of Regret;Chaos Orb;0.38277;High
Scourge;2021-12-01;Orb of Regret;Chaos Orb;0.3761;High
Scourge;2021-12-02;Orb of Regret;Chaos Orb;0.36943;High
Scourge;2021-12-03;Orb of Regret;Chaos Orb;0.35703;High
Scourge;2021-12-04;Orb of Regret;Chaos Orb;0.35484;High
Scourge;2021-12-05;Orb of Regret;Chaos Orb;0.35397;High
Scourge;2021-12-06;Orb of Regret;Chaos Orb;0.35272;High
Scourge;2021-12-07;Orb of Regret;Chaos Orb;0.34828;High
Scourge;2021-12-08;Orb of Regret;Chaos Orb;0.33333;High
Scourge;2021-12-09;Orb of Regret;Chaos Orb;0.33333;High
Scourge;2021-12-10;Orb of Regret;Chaos Orb;0.33333;High
