League;Date;Get;Pay;Value;Confidence
Sentinel;2022-05-13;Orb of Transmutation;Chaos Orb;0.24364;High
Sentinel;2022-05-14;Orb of Transmutation;Chaos Orb;0.05006;High
Sentinel;2022-05-15;Orb of Transmutation;Chaos Orb;0.03333;High
Sentinel;2022-05-16;Orb of Transmutation;Chaos Orb;0.02682;High
Sentinel;2022-05-17;Orb of Transmutation;Chaos Orb;0.02269;High
Sentinel;2022-05-18;Orb of Transmutation;Chaos Orb;0.02177;High
Sentinel;2022-05-19;Orb of Transmutation;Chaos Orb;0.02125;High
Sentinel;2022-05-20;Orb of Transmutation;Chaos Orb;0.02083;High
Sentinel;2022-05-21;Orb of Transmutation;Chaos Orb;0.02083;High
Sentinel;2022-05-22;Orb of Transmutation;Chaos Orb;0.02076;High
Sentinel;2022-05-23;Orb of Transmutation;Chaos Orb;0.02;High
Sentinel;2022-05-24;Orb of Transmutation;Chaos Orb;0.01918;High
Sentinel;2022-05-25;Orb of Transmutation;Chaos Orb;0.01881;High
Sentinel;2022-05-26;Orb of Transmutation;Chaos Orb;0.01927;High
Sentinel;2022-05-27;Orb of Transmutation;Chaos Orb;0.01996;High
Sentinel;2022-05-28;Orb of Transmutation;Chaos Orb;0.01927;High
Sentinel;2022-05-29;Orb of Transmutation;Chaos Orb;0.0192;High
Sentinel;2022-05-30;Orb of Transmutation;Chaos Orb;0.01871;High
Sentinel;2022-05-31;Orb of Transmutation;Chaos Orb;0.0185;High
Sentinel;2022-06-01;Orb of Transmutation;Chaos Orb;0.01852;High
Sentinel;2022-06-02;Orb of Transmutation;Chaos Orb;0.01825;High
Sentinel;2022-06-03;Orb of Transmutation;Chaos Orb;0.01818;High
Sentinel;2022-06-04;Orb of Transmutation;Chaos Orb;0.01817;High
Sentinel;2022-06-05;Orb of Transmutation;Chaos Orb;0.01818;High
Sentinel;2022-06-06;Orb of Transmutation;Chaos Orb;0.01818;High
Sentinel;2022-06-07;Orb of Transmutation;Chaos Orb;0.01809;High
Sentinel;2022-06-08;Orb of Transmutation;Chaos Orb;0.01786;High
Sentinel;2022-06-09;Orb of Transmutation;Chaos Orb;0.01786;High
Sentinel;2022-06-10;Orb of Transmutation;Chaos Orb;0.01754;High
Sentinel;2022-06-11;Orb of Transmutation;Chaos Orb;0.0175;High
Sentinel;2022-06-12;Orb of Transmutation;Chaos Orb;0.0171;High
Sentinel;2022-06-13;Orb of Transmutation;Chaos Orb;0.01667;High
Sentinel;2022-06-14;Orb of Transmutation;Chaos Orb;0.01667;High
Sentinel;2022-06-15;Orb of Transmutation;Chaos Orb;0.01667;High
Sentinel;2022-06-16;Orb of Transmutation;Chaos Orb;0.01667;High
Sentinel;2022-06-17;Orb of Transmutation;Chaos Orb;0.01667;High
Sentinel;2022-06-18;Orb of Transmutation;Chaos Orb;0.01639;High
Sentinel;2022-06-19;Orb of Transmutation;Chaos Orb;0.01603;High
Sentinel;2022-06-20;Orb of Transmutation;Chaos Orb;0.0161;High
Sentinel;2022-06-21;Orb of Transmutation;Chaos Orb;0.01655;High
Sentinel;2022-06-22;Orb of Transmutation;Chaos Orb;0.0166;High
Sentinel;2022-06-23;Orb of Transmutation;Chaos Orb;0.01657;High
Sentinel;2022-06-24;Orb of Transmutation;Chaos Orb;0.01657;High
Sentinel;2022-06-25;Orb of Transmutation;Chaos Orb;0.01664;High
Sentinel;2022-06-26;Orb of Transmutation;Chaos Orb;0.01664;High
Sentinel;2022-06-27;Orb of Transmutation;Chaos Orb;0.01667;High
Sentinel;2022-06-28;Orb of Transmutation;Chaos Orb;0.01666;High
Sentinel;2022-06-29;Orb of Transmutation;Chaos Orb;0.01667;High
Sentinel;2022-06-30;Orb of Transmutation;Chaos Orb;0.01667;High
Sentinel;2022-07-01;Orb of Transmutation;Chaos Orb;0.01666;High
Sentinel;2022-07-02;Orb of Transmutation;Chaos Orb;0.01664;High
Sentinel;2022-07-03;Orb of Transmutation;Chaos Orb;0.01667;High
Sentinel;2022-07-04;Orb of Transmutation;Chaos Orb;0.01667;High
Sentinel;2022-07-05;Orb of Transmutation;Chaos Orb;0.01667;High
Sentinel;2022-07-06;Orb of Transmutation;Chaos Orb;0.01666;High
Sentinel;2022-07-07;Orb of Transmutation;Chaos Orb;0.01666;High
Sentinel;2022-07-08;Orb of Transmutation;Chaos Orb;0.01632;High
Sentinel;2022-07-09;Orb of Transmutation;Chaos Orb;0.01666;High
Sentinel;2022-07-10;Orb of Transmutation;Chaos Orb;0.01666;High
Sentinel;2022-07-11;Orb of Transmutation;Chaos Orb;0.01663;High
Sentinel;2022-07-12;Orb of Transmutation;Chaos Orb;0.01666;High
Sentinel;2022-07-13;Orb of Transmutation;Chaos Orb;0.01596;High
Sentinel;2022-07-14;Orb of Transmutation;Chaos Orb;0.01581;High
Sentinel;2022-07-15;Orb of Transmutation;Chaos Orb;0.01592;High
Sentinel;2022-07-16;Orb of Transmutation;Chaos Orb;0.01578;High
Sentinel;2022-07-17;Orb of Transmutation;Chaos Orb;0.01549;High
Sentinel;2022-07-18;Orb of Transmutation;Chaos Orb;0.01538;High
Sentinel;2022-07-19;Orb of Transmutation;Chaos Orb;0.01563;High
Sentinel;2022-07-20;Orb of Transmutation;Chaos Orb;0.01556;High
Sentinel;2022-07-21;Orb of Transmutation;Chaos Orb;0.01563;High
Sentinel;2022-07-22;Orb of Transmutation;Chaos Orb;0.01554;High
Sentinel;2022-07-23;Orb of Transmutation;Chaos Orb;0.01537;High
Sentinel;2022-07-24;Orb of Transmutation;Chaos Orb;0.01503;High
Sentinel;2022-07-25;Orb of Transmutation;Chaos Orb;0.01538;High
Sentinel;2022-07-26;Orb of Transmutation;Chaos Orb;0.01535;High
Sentinel;2022-07-27;Orb of Transmutation;Chaos Orb;0.01538;High
Sentinel;2022-07-28;Orb of Transmutation;Chaos Orb;0.01538;High
Sentinel;2022-07-29;Orb of Transmutation;Chaos Orb;0.01518;High
Sentinel;2022-07-30;Orb of Transmutation;Chaos Orb;0.01429;High
Sentinel;2022-07-31;Orb of Transmutation;Chaos Orb;0.01526;High
Sentinel;2022-08-01;Orb of Transmutation;Chaos Orb;0.01562;High
Sentinel;2022-08-02;Orb of Transmutation;Chaos Orb;0.01538;High
Sentinel;2022-08-03;Orb of Transmutation;Chaos Orb;0.01538;High
Sentinel;2022-08-04;Orb of Transmutation;Chaos Orb;0.01538;High
Sentinel;2022-08-05;Orb of Transmutation;Chaos Orb;0.01429;High
Sentinel;2022-08-06;Orb of Transmutation;Chaos Orb;0.01533;High
Sentinel;2022-08-07;Orb of Transmutation;Chaos Orb;0.0153;High
Sentinel;2022-08-08;Orb of Transmutation;Chaos Orb;0.01431;High
Sentinel;2022-08-09;Orb of Transmutation;Chaos Orb;0.01438;High
Sentinel;2022-08-10;Orb of Transmutation;Chaos Orb;0.0157;High
Sentinel;2022-08-11;Orb of Transmutation;Chaos Orb;0.01544;High
Sentinel;2022-08-12;Orb of Transmutation;Chaos Orb;0.01552;High
